Anchorage,AK = 293227
Lake Charles,LA = 72163
Minneapolis,MN = 383280
Pompano Beach,FL = 100154
Chattanooga,TN = 168075
Mesa,AZ = 440248
Melbourne,FL = 76083
Waco,TX = 125410
Nashua,NH = 86570
Sandy Springs,GA = 94441
Jersey City,NJ = 248005
Lynchburg,VA = 75686
Tustin,CA = 75769
Detroit,MI = 711910
Lawrence,MA = 76526
Allen,PA = 118240
Goodyear,AZ = 65445
Vacaville,CA = 92623
New Haven,CT = 129849
Lehigh Acres,FL = 88196
Philadelphia,PA = 1528306
Huntsville,AL = 181126
Enterprise,NV = 118697
Norwalk,CA = 105686
Dale City,VA = 62021
Santa Clarita,CA = 176535
Providence,RI = 178162
Warner Robins,GA = 66757
Jacksonville,FL = 823316
Greensboro,NC = 270357
Norwalk,CT = 85793
Chula Vista,CA = 244789
Farmington Hills,MI = 79768
Bay,TX = 72418
Evansville,IN = 115833
Lubbock,TX = 230734
Plymouth,MN = 70710
Salinas,CA = 151031
San Bernardino,CA = 210670
Fontana,CA = 196778
Vancouver,WA = 162430
Winston-Salem,NC = 230044
Brockton,MA = 93973
Napa,CA = 77122
Schenectady,NY = 66202
Oceanside,CA = 167680
Thornton,CO = 119324
Reno,NV = 225818
Colorado Springs,CO = 419586
Passaic,NJ = 69870
Weston,FL = 65528
Waukegan,IL = 87729
Santa Maria,CA = 99747
Mayagüez,PR = 71129
Corona,CA = 153335
Boise City,ID = 206286
Avondale,AZ = 76446
Mission Viejo,CA = 93585
Oshkosh,WI = 66110
St. Cloud,MN = 65885
Irving,TX = 217139
Milwaukee,WI = 595587
Palm Bay,FL = 103225
Carlsbad,CA = 105707
Missoula,MT = 66905
Livonia,MI = 96684
Troy,MI = 81037
Trenton,NJ = 85015
Santa Monica,CA = 89861
Ponce,PR = 134788
Tucson,AZ = 521132
Plano,TX = 261697
New Rochelle,NY = 77177
Springfield,IL = 116188
Miramar,FL = 122438
Silver Spring,MD = 76534
Midland,TX = 111238
Dallas,TX = 1202797
Clifton,NJ = 84249
Boulder,CO = 97585
Fort Collins,CO = 144453
Greenville,NC = 84879
Grand Prairie,TX = 176090
Bayamón,PR = 187219
Orem,UT = 88929
Columbus,OH = 789939
Duluth,MN = 86230
Santa Barbara,CA = 88579
Rockford,IL = 152220
Gresham,OR = 105973
Des Moines,IA = 204196
Charleston,SC = 119834
Edinburg,TX = 77613
Springdale,AR = 70751
Parma,OH = 81481
Livermore,CA = 81178
Ontario,CA = 164517
Oklahoma City,OK = 582278
Spring Valley,NV = 179830
Oakland,CA = 391672
Hollywood,FL = 141202
Salem,OR = 155004
Houston,TX = 2107208
Hesperia,CA = 90486
Stamford,CT = 122902
Hampton,VA = 137381
Bellevue,WA = 122808
Milpitas,CA = 67011
Ann Arbor,MI = 114101
San Jose,CA = 949197
Glendale,CA = 191954
Torrance,CA = 145618
Hammond,IN = 80812
Spokane Valley,WA = 89927
Little Rock,AR = 193973
Lafayette,IN = 65261
Whittier,CA = 85433
Waterloo,IA = 68472
Manteca,CA = 67338
Baton Rouge,LA = 229859
Montgomery,AL = 206655
Wichita Falls,TX = 104699
Beaverton,OR = 90150
Waterbury,CT = 110430
Provo,UT = 113196
San Tan Valley,AZ = 74977
Coral Springs,FL = 121492
Palatine,IL = 68596
Omaha,NE = 410269
Youngs,OH = 66835
Southfield,MI = 71785
Frederick,MD = 65439
Anaheim,CA = 337259
Redwood City,CA = 77013
Lynn,MA = 90511
Decatur,IL = 76268
West Jordan,UT = 104145
Chesapeake,VA = 222986
